group_id	ctrl_status	gene_name	gene_id	transcript_name	transcript_id	cleaner_transcript_biotype	cleaner_gene_biotype	CRISPhieRmix_FDR	is_hit	effect_size	csf	hESC_mean	endo_mean	qval_hESC_endo	endo_hESC_log2fc	endo_hESC_abslog2fc
NC_000018.10:+:59899995	mRNA	PMAIP1	ENSG00000141682.11_1	PMAIP1-001	ENST00000316660.6_1	protein_coding	protein_coding	5.69478954925161e-06	hit	2.56524990244186	protein_coding	135.52539687883151	13.6232174218124	0.000351273060734306	-3.222836675513811	3.222836675513811
NC_000017.11:-:19174435	experimental	AC007952.4	ENSG00000266311.6_2	AC007952.4-001	ENST00000495691.2_1	intergenic	intergenic	0.00126939613541714	hit	2.54662934541637	lncRNA_good_csf	0.05552588844924665	0.0	sleuth NA	-0.07796196350678118	0.07796196350678118
NC_000018.10:+:22169434	control	GATA6	ENSG00000141448.8_1	GATA6-001	ENST00000269216.7_1	protein_coding	protein_coding	6.75712890345724e-05	hit	2.4280594357328997	protein_coding	0.06409155448205665	114.8156757208595	0.00400849091163016	6.766064440231781	6.766064440231781
NC_000013.11:-:40666587	mRNA	FOXO1	ENSG00000150907.7_2	FOXO1-001	ENST00000379561.5_1	protein_coding	protein_coding	0.00737371681492767	hit	2.38454589906006	protein_coding	13.11257732743355	8.386705756309237	0.00296294913590534	-0.5882906448473484	0.5882906448473484
NC_000022.11:-:38681855	experimental	RP3-508I15.9	ENSG00000228274.3_2	RP3-508I15.9-004	ENST00000431924.2_1	promoter_overlap	promoter_overlap	3.35650811944976e-06	hit	2.36310280213888	lncRNA_good_csf	0.587602933306072	1.1855528479024602	0.140809956201465	0.4611481307039629	0.4611481307039629
NC_000022.11:-:38681855	experimental	RP3-508I15.9	ENSG00000228274.3_2	RP3-508I15.9-001	ENST00000444381.1_1	promoter_overlap	promoter_overlap	3.35650811944976e-06	hit	2.36310280213888	lncRNA_good_csf	0.4301658968679	1.4029232123410802	0.0117685654472494	0.7486080395964972	0.7486080395964972
NC_000022.11:-:38681855	experimental	RP3-508I15.9	ENSG00000228274.3_2	RP3-508I15.9-002	ENST00000412067.1_1	promoter_overlap	promoter_overlap	3.35650811944976e-06	hit	2.36310280213888	lncRNA_good_csf	0.600636983848382	1.01723613940534	0.121358273872493	0.3337338277522565	0.3337338277522565
NC_000003.12:+:27712918	experimental	RP11-222K16.2	ENSG00000272282.1_1	RP11-222K16.2-001	ENST00000606069.1_1	intergenic	intergenic	0.000151204857030321	hit	2.34516745287985	lncRNA_good_csf	0.0	3.3948713828085695	0.00149981693904295	2.135820945095781	2.135820945095781
NC_000001.11:+:110407783	experimental	LAMTOR5-AS1	ENSG00000224699.8_1	LAMTOR5-AS1-020	ENST00000608067.5_1	promoter_overlap	transcript_overlap	0.0133018456015756	hit	2.28841365851017	lncRNA_good_csf	0.0	0.0	sleuth NA	0.0	0.0
NC_000001.11:+:110407783	experimental	LAMTOR5-AS1	ENSG00000224699.8_1	LAMTOR5-AS1-031	ENST00000612551.4_1	promoter_overlap	transcript_overlap	0.0133018456015756	hit	2.28841365851017	lncRNA_good_csf	0.6971631410559795	0.7598256881111795	0.238541776391718	0.052307284380147284	0.052307284380147284
NC_000001.11:+:110407783	experimental	LAMTOR5-AS1	ENSG00000224699.8_1	LAMTOR5-AS1-006	ENST00000587691.1_1	promoter_overlap	transcript_overlap	0.0133018456015756	hit	2.28841365851017	lncRNA_good_csf	0.15804401629353748	0.333011382163459	sleuth NA	0.20299900918464767	0.20299900918464767
NC_000001.11:+:110407783	experimental	LAMTOR5-AS1	ENSG00000224699.8_1	LAMTOR5-AS1-014	ENST00000608253.1_1	promoter_overlap	transcript_overlap	0.0133018456015756	hit	2.28841365851017	lncRNA_good_csf	0.5332384698188315	0.4464998464059195	0.17612973504964502	-0.08401593166082516	0.08401593166082516
NC_000001.11:+:110407783	experimental	LAMTOR5-AS1	ENSG00000224699.8_1	LAMTOR5-AS1-022	ENST00000609709.5_1	promoter_overlap	transcript_overlap	0.0133018456015756	hit	2.28841365851017	lncRNA_good_csf	0.1702895749423707	0.37102534456526504	0.38988373961177797	0.2283896882234761	0.2283896882234761
NC_000001.11:+:110407783	experimental	LAMTOR5-AS1	ENSG00000224699.8_1	LAMTOR5-AS1-023	ENST00000610148.5_1	promoter_overlap	transcript_overlap	0.0133018456015756	hit	2.28841365851017	lncRNA_good_csf	0.1351817150072667	0.0394984118549216	sleuth NA	-0.12703570237088924	0.12703570237088924
NC_000007.14:-:116499513	experimental	AC002066.1	ENSG00000237813.3_2	AC002066.1-003	ENST00000446355.2_1	promoter_overlap	transcript_overlap	0.127576033320706	no hit	2.1468045007708003	lncRNA_good_csf	0.1017156341567191	1.6340092068791798	0.0252829461983149	1.2575084930846576	1.2575084930846576
NC_000012.12:-:130045056	experimental	RP11-474D1.4	ENSG00000261650.1_2	RP11-474D1.4-001	ENST00000561864.1_1	promoter_overlap	promoter_overlap	0.256479291148553	no hit	2.1224437084772103	lncRNA_good_csf	0.015559616011091	0.0	sleuth NA	-0.02227493209991481	0.02227493209991481
NC_000021.9:+:44801879	experimental	LINC01424	ENSG00000236519.1_1	LINC01424-001	ENST00000417820.1_1	promoter_overlap	promoter_overlap	4.83945913357014e-05	hit	2.04820930329526	lncRNA_good_csf	0.8378441674745185	0.41984772496290995	0.0585646169634834	-0.3722782316782151	0.3722782316782151
NC_000007.14:-:100604056	experimental	PCOLCE-AS1	ENSG00000224729.5_1	PCOLCE-AS1-001	ENST00000442166.2_1	promoter_overlap	transcript_overlap	0.161580115921145	no hit	2.0168896878773	lncRNA_good_csf	3.484150426406885	0.263165145235541	0.0018614803888505897	-1.8277914076640087	1.8277914076640087
NC_000001.11:+:101025906	experimental	RP11-421L21.3	ENSG00000233184.6_1	RP11-421L21.3-004	ENST00000446527.5_1	promoter_overlap	promoter_overlap	0.0669687652700275	hit	2.00329971075515	lncRNA_good_csf	1.9577250403311799	1.18642646321248	0.0382314534972833	-0.4359131144750816	0.4359131144750816
NC_000001.11:+:101025906	experimental	RP11-421L21.3	ENSG00000233184.6_1	RP11-421L21.3-005	ENST00000453011.5_1	promoter_overlap	promoter_overlap	0.0669687652700275	hit	2.00329971075515	lncRNA_good_csf	0.6556278293545204	0.998074465509539	0.14354863218181	0.2712319473443308	0.2712319473443308
NC_000014.9:+:94770641	experimental	DIGIT	DIGIT	DIGIT	DIGIT	promoter_overlap	promoter_overlap	0.0763341955113221	hit	1.97626107961878	lncRNA_good_csf	0.0127108918027186	4.84608154890675	0.008168525422325441	2.5292475808498818	2.5292475808498818
NC_000017.11:-:72592803	experimental	LINC00511	ENSG00000227036.6_1	LINC00511-002	ENST00000453722.6_1	transcript_overlap	transcript_overlap	0.500168689849748	no hit	1.97227916787586	lncRNA_good_csf	0.3139482348134425	0.34043191913097204	0.14566026748241698	0.028789506945262493	0.028789506945262493
NC_000019.10:+:34645631	experimental	CTD-2553L13.5	ENSG00000279971.1_2	CTD-2553L13.5-001	ENST00000623084.1_1	transcript_overlap	transcript_overlap	0.640636087057363	no hit	1.96800177475634	lncRNA_good_csf	0.17156621729126953	0.3572624056657485	0.131964460003827	0.2122611723823725	0.2122611723823725
NC_000014.9:-:94770237	control	GSC	ENSG00000133937.4_1	GSC-001	ENST00000238558.4_1	protein_coding	protein_coding	0.0036212997065610897	hit	1.96252375553892	protein_coding	0.1588733080968945	173.08731751190498	0.000425400288227333	7.230944439655415	7.230944439655415
NC_000019.10:+:56314751	experimental	AC006116.17	ENSG00000267549.5_1	AC006116.17-001	ENST00000587004.5_1	promoter_overlap	transcript_overlap	0.454117442274044	no hit	1.92370456323976	lncRNA_good_csf	0.098136370867075	0.1356251613065619	0.249081663696873	0.04842949440484081	0.04842949440484081
NC_000005.10:+:91223419	experimental	RP11-414H23.2	ENSG00000212930.3_1	RP11-414H23.2-001	ENST00000514239.1_1	intergenic	intergenic	0.00108102496017835	hit	1.91479180784116	lncRNA_good_csf	0.0666882362315888	0.2132126578641425	sleuth NA	0.18569387777902094	0.18569387777902094
NC_000022.11:+:42090944	experimental	NDUFA6-AS1	ENSG00000237037.9_2	NDUFA6-AS1-008	ENST00000595777.5_1	promoter_overlap	promoter_overlap	0.474119225538639	no hit	1.89993246578873	lncRNA_good_csf	0.12309073738752	0.10500815264594	0.5497652046211771	-0.02341747776411843	0.02341747776411843
NC_000022.11:+:42090944	experimental	NDUFA6-AS1	ENSG00000237037.9_2	NDUFA6-AS1-001	ENST00000439129.5_1	promoter_overlap	promoter_overlap	0.474119225538639	no hit	1.89993246578873	lncRNA_good_csf	0.5029047216708655	0.8552848783304365	0.0551778361312129	0.30388717827928785	0.30388717827928785
NC_000022.11:+:42090944	experimental	NDUFA6-AS1	ENSG00000237037.9_2	NDUFA6-AS1-010	ENST00000608974.5_1	promoter_overlap	promoter_overlap	0.474119225538639	no hit	1.89993246578873	lncRNA_good_csf	0.27894131934766403	0.07538038743955701	sleuth NA	-0.25010300630491666	0.25010300630491666
NC_000022.11:+:42090944	experimental	NDUFA6-AS1	ENSG00000237037.9_2	NDUFA6-AS1-002	ENST00000417327.5_1	promoter_overlap	promoter_overlap	0.474119225538639	no hit	1.89993246578873	lncRNA_good_csf	1.194729581820315	2.3582341528992052	0.0151287191617819	0.6136596330956863	0.6136596330956863
NC_000001.11:+:222815080	experimental	RP11-452F19.3	ENSG00000228106.5_2	RP11-452F19.3-004	ENST00000457636.5_1	promoter_overlap	promoter_overlap	0.178987361311106	no hit	1.87070102879964	lncRNA_good_csf	3.67266015614226	1.5434052526190252	0.0230760050441668	-0.8774827617398119	0.8774827617398119
NC_000001.11:+:222815080	experimental	RP11-452F19.3	ENSG00000228106.5_2	RP11-452F19.3-005	ENST00000439440.1_1	promoter_overlap	promoter_overlap	0.178987361311106	no hit	1.87070102879964	lncRNA_good_csf	0.1475586331214865	0.0	sleuth NA	-0.19856786828183606	0.19856786828183606
NC_000001.11:+:222815080	experimental	RP11-455P21.3	ENSG00000278610.1_2	RP11-455P21.3-001	ENST00000495684.2_1	promoter_overlap	promoter_overlap	0.178987361311106	no hit	1.87070102879964	lncRNA_good_csf	0.430700649375775	0.411209657764401	0.308946747641635	-0.019789504106233275	0.019789504106233275
NC_000001.11:+:222815080	experimental	RP11-452F19.3	ENSG00000228106.5_2	RP11-452F19.3-009	ENST00000420335.5_1	promoter_overlap	promoter_overlap	0.178987361311106	no hit	1.87070102879964	lncRNA_good_csf	1.7920748266684334	0.2471161767197462	0.17329775243132597	-1.1627417382590592	1.1627417382590592
NC_000001.11:+:222815080	experimental	RP11-452F19.3	ENSG00000228106.5_2	RP11-452F19.3-012	ENST00000448808.1_1	promoter_overlap	promoter_overlap	0.178987361311106	no hit	1.87070102879964	lncRNA_good_csf	4.41316860311305	2.5622435571560698	0.236321228280519	-0.6036871646182762	0.6036871646182762
NC_000019.10:-:28964942	experimental	AC011524.3	ENSG00000267240.1_1	AC011524.3-001	ENST00000589198.1_1	promoter_overlap	promoter_overlap	0.702682987003198	no hit	1.86937939298167	lncRNA_good_csf	0.5848315900077681	0.239834865587745	0.18309314259913798	-0.3541815625494909	0.3541815625494909
NC_000009.12:+:33677395	experimental	PTENP1-AS	ENSG00000281128.1_1	PTENP1-AS-001	ENST00000627688.1_1	intergenic	intergenic	0.251348155317222	no hit	1.86922589663328	lncRNA_good_csf	1.2270738857927548	0.8189106079155586	0.069686367996248	-0.2920747799051558	0.2920747799051558
NC_000019.10:+:37337302	experimental	CTD-3220F14.2	ENSG00000267682.1_2	CTD-3220F14.2-001	ENST00000592319.1_1	transcript_overlap	transcript_overlap	0.6071173485942829	no hit	1.8441991605471104	lncRNA_good_csf	0.4438480915930946	0.6082777004660075	0.217283644971119	0.15559757430541915	0.15559757430541915
NC_000011.10:+:118636781	experimental	AP002954.3	ENSG00000255176.1_2	AP002954.3-001	ENST00000530198.1_1	transcript_overlap	transcript_overlap	0.7010349848276429	no hit	1.8340891360328304	lncRNA_good_csf	0.5882660310297572	0.26910189091998704	0.0504472053418724	-0.32364467911141465	0.32364467911141465
NC_000019.10:+:956668	experimental	LLNLR-260G6.1	ENSG00000275162.1_2	LLNLR-260G6.1-001	ENST00000613285.1_1	transcript_overlap	transcript_overlap	0.00038180616248043904	hit	1.8290859925301104	lncRNA_good_csf	0.19495366294821348	0.2974141136445585	sleuth NA	0.11868436256430336	0.11868436256430336
NC_000002.12:+:24214381	experimental	AC009228.1	ENSG00000242628.5_1	AC009228.1-002	ENST00000430105.1_1	transcript_overlap	transcript_overlap	0.52364996394405	no hit	1.82480420334703	lncRNA_good_csf	0.0	0.0	sleuth NA	0.0	0.0
NC_000002.12:+:24214381	experimental	AC009228.1	ENSG00000242628.5_1	AC009228.1-001	ENST00000413989.5_1	transcript_overlap	transcript_overlap	0.52364996394405	no hit	1.82480420334703	lncRNA_good_csf	0.0	0.0919394216883205	sleuth NA	0.12689282104341834	0.12689282104341834
NC_000002.12:+:24214381	experimental	AC009228.1	ENSG00000242628.5_1	AC009228.1-003	ENST00000413254.5_1	transcript_overlap	transcript_overlap	0.52364996394405	no hit	1.82480420334703	lncRNA_good_csf	0.0	0.0	sleuth NA	0.0	0.0
NC_000016.10:+:47004513	experimental	RP11-169E6.4	ENSG00000259821.1_2	RP11-169E6.4-001	ENST00000564193.1_1	intergenic	intergenic	0.573227719656573	no hit	1.819116965701	lncRNA_good_csf	0.2705555186775345	0.27262096714689005	0.214279727343038	0.00234337879082676	0.00234337879082676
NC_000014.9:-:39267082	experimental	RP11-407N17.5	ENSG00000258940.2_1	RP11-407N17.5-002	ENST00000605298.1_1	promoter_overlap	transcript_overlap	0.462868602679291	no hit	1.81443758300105	lncRNA_good_csf	0.33859722243925	0.8718897847563991	0.0258731336203205	0.4837735669343968	0.4837735669343968
NC_000002.12:-:20106827	experimental	AC098828.2	ENSG00000234378.1_1	AC098828.2-001	ENST00000430429.1_1	intergenic	intergenic	0.703500069482402	no hit	1.8133799946109	lncRNA_good_csf	0.5227713755671	0.39462958515598257	0.22780102933477697	-0.12681736421620518	0.12681736421620518
NC_000010.11:-:110872223	experimental	PDCD4-AS1	ENSG00000203497.2_1	PDCD4-AS1-001	ENST00000420367.1_1	promoter_overlap	promoter_overlap	0.3797647198508111	no hit	1.7860782718255401	lncRNA_good_csf	2.5457678123418455	2.577450555447225	0.0407080119596155	0.0128337600846552	0.0128337600846552
NC_000004.12:+:11722463	experimental	RP11-281P23.2	ENSG00000249631.5_1	RP11-281P23.2-001	ENST00000515286.5_1	transcript_overlap	transcript_overlap	0.757805594004518	no hit	1.7839097645010098	lncRNA_good_csf	0.0	0.1888311876369915	sleuth NA	0.2495438689526672	0.2495438689526672
NC_000004.12:+:11722463	experimental	RP11-281P23.2	ENSG00000249631.5_1	RP11-281P23.2-009	ENST00000509244.1_1	transcript_overlap	transcript_overlap	0.757805594004518	no hit	1.7839097645010098	lncRNA_good_csf	0.0	0.26676543249789353	0.0569717245641784	0.3411494047456412	0.3411494047456412
NC_000007.14:-:143222266	experimental	RP11-556I13.2	ENSG00000268170.2_1	RP11-556I13.2-001	ENST00000595842.2_1	promoter_overlap	promoter_overlap	0.6331553555171989	no hit	1.7770098277922	lncRNA_good_csf	0.1112343046481752	0.15654228832829398	0.181718989098118	0.05765497607115031	0.05765497607115031
NC_000001.11:+:226223663	control	MIXL1	ENSG00000185155.11_1	MIXL1-001	ENST00000366810.5_1	protein_coding	protein_coding	0.5885011558343001	no hit	1.77668319145278	protein_coding	0.8504613267262039	77.75353628662626	0.00045037551224103397	5.411387816787703	5.411387816787703
NC_000010.11:+:52315257	mRNA	DKK1	ENSG00000107984.9_1	DKK1-001	ENST00000476752.1_1	protein_coding	protein_coding	0.348574414576413	no hit	1.7700374923778701	protein_coding	0.23404563297880604	0.864409446189957	0.149880029697115	0.5953229835812297	0.5953229835812297
NC_000011.10:-:118531140	experimental	RP11-770J1.3	ENSG00000255435.6_1	RP11-770J1.3-005	ENST00000525992.2_1	promoter_overlap	promoter_overlap	0.5852099961844069	no hit	1.7688930391909399	lncRNA_good_csf	0.0583338972674635	0.0	sleuth NA	-0.08179485990514916	0.08179485990514916
NC_000011.10:-:118531140	experimental	RP11-770J1.3	ENSG00000255435.6_1	RP11-770J1.3-003	ENST00000554407.5_1	promoter_overlap	promoter_overlap	0.5852099961844069	no hit	1.7688930391909399	lncRNA_good_csf	0.0675970260177718	0.1182590034803579	sleuth NA	0.06688718230022038	0.06688718230022038
NC_000011.10:-:118531140	experimental	RP11-770J1.3	ENSG00000255435.6_1	RP11-770J1.3-004	ENST00000556583.1_1	promoter_overlap	promoter_overlap	0.5852099961844069	no hit	1.7688930391909399	lncRNA_good_csf	0.069926512851518	0.0	sleuth NA	-0.0975117095371331	0.0975117095371331
NC_000017.11:+:56914175	experimental	RP11-670E13.6	ENSG00000274213.1_1	RP11-670E13.6-001	ENST00000619432.1_1	promoter_overlap	promoter_overlap	0.167385144678574	no hit	1.7630040434881398	lncRNA_good_csf	0.8659283387781775	0.472872038052143	0.19396531825133498	-0.3412614847381587	0.3412614847381587
NC_000016.10:+:50884209	experimental	RP11-883G14.1	ENSG00000261241.5_1	RP11-883G14.1-002	ENST00000567534.2_1	gene_nearby	gene_nearby	0.78776432492568	no hit	1.7614375103621998	lncRNA_good_csf	0.1772586058250865	0.1641510056325745	0.31289494237082394	-0.016153062029626634	0.016153062029626634
NC_000016.10:+:50884209	experimental	RP11-883G14.1	ENSG00000261241.5_1	RP11-883G14.1-001	ENST00000570245.5_1	gene_nearby	gene_nearby	0.78776432492568	no hit	1.7614375103621998	lncRNA_good_csf	0.2835293271579522	0.03633844631897835	sleuth NA	-0.30862102639642736	0.30862102639642736
NC_000008.11:-:143281675	experimental	MINCR	ENSG00000253716.5_1	MINCR-004	ENST00000524335.1_1	intergenic	intergenic	0.509863240511956	no hit	1.7579696644219398	lncRNA_good_csf	0.86498911405949	1.5804741903683048	0.21694953010458898	0.4684689915150545	0.4684689915150545
NC_000008.11:-:143281675	experimental	MINCR	ENSG00000253716.5_1	MINCR-002	ENST00000517411.1_1	intergenic	intergenic	0.509863240511956	no hit	1.7579696644219398	lncRNA_good_csf	1.332621245433355	0.5745055377278531	0.159181381899545	-0.5670532400883118	0.5670532400883118
NC_000008.11:-:143281675	experimental	MINCR	ENSG00000253716.5_1	MINCR-006	ENST00000523031.1_1	intergenic	intergenic	0.509863240511956	no hit	1.7579696644219398	lncRNA_good_csf	0.5504435108130615	1.1763133703651134	0.136459701578626	0.4892053437436725	0.4892053437436725
NC_000008.11:-:143281675	experimental	MINCR	ENSG00000253716.5_1	MINCR-001	ENST00000518073.1_1	intergenic	intergenic	0.509863240511956	no hit	1.7579696644219398	lncRNA_good_csf	3.839087745664415	6.855798169214308	0.0353533749132999	0.6990227650879102	0.6990227650879102
NC_000008.11:-:143281675	experimental	MINCR	ENSG00000253716.5_1	MINCR-003	ENST00000521207.1_1	intergenic	intergenic	0.509863240511956	no hit	1.7579696644219398	lncRNA_good_csf	0.5011034724238721	0.4762896051797655	0.27772015978110703	-0.02404766260119429	0.02404766260119429
NC_000003.12:+:195681869	experimental	LINC00969	ENSG00000242086.8_2	LINC00969-130	ENST00000625882.2_1	intergenic	promoter_overlap	0.756218669330183	no hit	1.7556831890417501	lncRNA_good_csf	0.351258021293993	0.4901773023583055	0.275382805355463	0.1411808117201033	0.1411808117201033
NC_000007.14:+:156540491	experimental	LINC00244	ENSG00000279418.1_1	LINC00244-001	ENST00000625073.1_1	transcript_overlap	transcript_overlap	0.695972208002975	no hit	1.75509350558057	lncRNA_good_csf	0.0143411146705	0.16389275429348088	sleuth NA	0.19841522816077853	0.19841522816077853
NC_000001.11:-:151766573	experimental	RP11-98D18.16	ENSG00000268288.1_2	RP11-98D18.16-001	ENST00000596133.1_1	promoter_overlap	transcript_overlap	0.680566654700025	no hit	1.7524893690363001	lncRNA_good_csf	0.05516224719538599	0.2003076039499235	sleuth NA	0.18593932179255251	0.18593932179255251
NC_000001.11:-:39537666	experimental	RP11-69E11.4	ENSG00000182109.7_2	RP11-69E11.4-006	ENST00000458207.5_1	transcript_overlap	transcript_overlap	0.562373687018518	no hit	1.7521352276200601	lncRNA_good_csf	0.30010154903454106	0.5540886110494205	0.18678400686909302	0.25744445124095816	0.25744445124095816
NC_000017.11:-:50215119	experimental	RP11-893F2.15	ENSG00000263176.1_1	RP11-893F2.15-001	ENST00000577175.1_1	promoter_overlap	promoter_overlap	0.803602902493952	no hit	1.7429544301129198	lncRNA_good_csf	0.2553175168128825	0.04432179834403735	0.18162954372823	-0.2654859880594553	0.2654859880594553
NC_000006.12:+:116280135	experimental	RP1-93H18.1	ENSG00000240050.5_2	RP1-93H18.1-002	ENST00000449314.5_1	promoter_overlap	promoter_overlap	0.578453400716777	no hit	1.73228069971576	lncRNA_good_csf	0.265563585171361	0.221785585959252	0.20873561612389396	-0.050788868574522535	0.050788868574522535
NC_000006.12:+:116280135	experimental	RP1-93H18.1	ENSG00000240050.5_2	RP1-93H18.1-001	ENST00000453463.1_1	promoter_overlap	promoter_overlap	0.578453400716777	no hit	1.73228069971576	lncRNA_good_csf	0.3884827661624579	0.4809071814355396	0.219044475612361	0.09297194936366372	0.09297194936366372
NC_000018.10:+:49814023	experimental	SNHG22	ENSG00000267322.2_1	SNHG22-002	ENST00000615535.1_1	promoter_overlap	promoter_overlap	0.405436443740488	no hit	1.73160130077357	lncRNA_good_csf	1.368063677831825	1.1776649568140118	0.17312757722625502	-0.12092586967612932	0.12092586967612932
NC_000001.11:-:27012845	mRNA	FAM46B	ENSG00000158246.7_1	FAM46B-001	ENST00000289166.5_1	protein_coding	protein_coding	0.4259519065606371	no hit	1.72670085128461	protein_coding	62.79678487590945	6.168630223648259	0.000645432085821594	-3.153714337966206	3.153714337966206
NC_000009.12:-:62897706	experimental	RP11-262H14.3	ENSG00000234665.8_2	RP11-262H14.3-001	ENST00000445604.6_1	promoter_overlap	promoter_overlap	0.8940035931934209	no hit	1.72657841422284	lncRNA_good_csf	2.09435538091153	1.858590378392455	0.0425166189990939	-0.11433499327745522	0.11433499327745522
NC_000009.12:-:62897706	experimental	RP11-262H14.3	ENSG00000234665.8_2	RP11-262H14.3-006	ENST00000585533.1_1	promoter_overlap	promoter_overlap	0.8940035931934209	no hit	1.72657841422284	lncRNA_good_csf	1.674697936919865	3.02281934810771	0.0582608738461099	0.5888309805498004	0.5888309805498004
NC_000003.12:+:150096465	experimental	RP11-167H9.4	ENSG00000243944.5_2	RP11-167H9.4-001	ENST00000472821.5_1	intergenic	transcript_overlap	0.895692108804244	no hit	1.7221039087640801	lncRNA_good_csf	0.017876180964696498	2.4367408687879304	0.00787667902874672	1.7554790000306224	1.7554790000306224
NC_000014.9:-:74474678	experimental	RP3-449M8.6	ENSG00000259005.1_1	RP3-449M8.6-001	ENST00000556370.1_1	intergenic	intergenic	0.772512366730491	no hit	1.72059975480909	lncRNA_good_csf	0.3761626164516375	1.9089629895814952	0.0159859276763926	1.0798539828285267	1.0798539828285267
NC_000001.11:+:44105499	experimental	RP5-1198O20.4	ENSG00000230615.6_2	RP5-1198O20.4-018	ENST00000625982.1_1	intergenic	transcript_overlap	0.6318777291622472	no hit	1.7194330642858702	lncRNA_good_csf	1.1277543355408486	1.0596416640205066	0.238580758162466	-0.04693823149978516	0.04693823149978516
NC_000009.12:+:62532364	experimental	RP11-211N8.2	ENSG00000226007.2_1	RP11-211N8.2-001	ENST00000446626.2_1	intergenic	intergenic	0.7942097626085409	no hit	1.71705878179176	lncRNA_good_csf	0.4206416067198295	0.231869341634744	0.161960869510743	-0.2056933991275064	0.2056933991275064
NC_000010.11:+:114993889	experimental	RP11-383C6.2	ENSG00000236799.1_1	RP11-383C6.2-001	ENST00000433085.1_1	intergenic	intergenic	0.682462631291019	no hit	1.7119217363997299	lncRNA_good_csf	0.102573755297053	0.1319736251394606	sleuth NA	0.03796517762884904	0.03796517762884904
NC_000015.10:+:101169517	experimental	RP11-424I19.2	ENSG00000259182.5_1	RP11-424I19.2-001	ENST00000558515.1_1	intergenic	intergenic	0.32758495636169105	no hit	1.71059285524421	lncRNA_good_csf	0.5008085630667805	0.048662270340578254	0.087314015479178	-0.517189842673394	0.517189842673394
NC_000008.11:+:12194268	experimental	AC145124.2	ENSG00000255495.1_1	AC145124.2-001	ENST00000528514.1_1	promoter_overlap	promoter_overlap	0.7529759079185749	no hit	1.68361777142848	lncRNA_good_csf	6.468734590938885	15.678799460041752	0.00179014798184423	1.1590797107215545	1.1590797107215545
