gene_id	gene_name	csf	cleaner_gene_biotype	minimal_biotype	endo_ctrl_val	min_hit	max_eff	max_exp	gc	n_tss	n_enh	enh_dist	prom_cons	exon_cons	dna_len	rna_len	n_exons	hESC_mean	endo_mean	endo_hESC_abslog2fc	closest_endo_snp_distance	closest_endo_snp_id	closest_endo_snp_disease
ENSG00000242590.1_2	RP11-54O7.14	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.0008963405029911998	148.409175	0.40547300000000003	0.0	55.0	3086	0.0	0.0	1083	402	2	0.14022247078935698	0.0724332835361495	0.08842743865860721	95841	rs13303010	pancreatic carcinoma
ENSG00000273443.1_1	RP11-54O7.18	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.056940959680263685	0.180099825	0.351025	0.0	55.0	4216	0.0	0.065	1080	829	2	0.15642228168795352	0.0494188247546155	0.14007773694967351	103016	rs13303010	pancreatic carcinoma
ENSG00000223823.1_1	LINC01342	lncRNA_good_csf	intergenic	lncRNA	False	lenient	0.07034036017254564	0.1640301	0.353086	0.0	57.0	1246	0.0	0.0	7039	1620	3	0.14700169996971751	0.0	0.1978675295717532	177825	rs13303010	pancreatic carcinoma
ENSG00000272141.1_1	RP11-465B22.8	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.4803236363078078	24.4413	0.342452	0.0	58.0	2457	0.0	0.0	986	987	1	0.6753811983026909	2.9245259160454853	1.2280289982136927	181332	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000205231.1_1	TTLL10-AS1	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.03906033349855281	0.04071335	0.38193699999999997	0.0	59.0	625	0.0	0.0	6499	3532	2	0.15170803551136194	0.04850935729299345	0.13543529514601216	172120	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000230415.1_1	RP5-902P8.10	lncRNA_good_csf	gene_nearby	lncRNA	False	no hit	0.970232162156011	42.4132835	0.359427	0.0	66.0	24096	0.0	0.02666666666666667	5197	389	3	2.9503539610468352	3.715842332162035	0.3495865116288205	71255	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000240731.1_2	RP5-890O3.9	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.7054656697092316	18.148685	0.580311	0.0	73.0	11609	0.0	0.01	1108	386	2	7.457268132507743	6.29396763933486	0.21348792013919707	32986	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000224870.6_1	RP4-758J18.2	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.8781040169521159	39.93706665000001	0.40562737499999996	2.0	74.0	7561	0.0	0.0	2519	2228	3	13.337354292286093	13.229477207260402	0.4528883905660562	47848	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000272455.1_1	RP4-758J18.13	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.4525592779448242	9.54815	0.5055810000000001	0.0	74.0	708	0.01	0.09	1522	1523	1	4.7729258505153656	4.62718617868176	0.0368889984056447	57422	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000225905.1_1	RP4-758J18.7	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.15120993743619815	0.2367375	0.259669	1.0	74.0	6929	0.0	0.0	2446	543	2	0.8196946674184484	0.53882452279076	0.24186767036605025	68571	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000225285.1_1	RP4-758J18.10	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.7759954164798277	15.018590499999998	0.31915	0.0	74.0	1082	0.0	0.01	4034	634	2	4.412070106190326	0.6835550008847809	1.0305693970176746	78865	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000215014.4_2	RP5-832C2.5	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.24199631516097786	0.97169	0.511185	3.0	82.0	53656	0.0	0.04	2100	2101	1	0.6993181795680171	0.5349884243013215	0.14672823143895314	223301	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000272004.1_1	RP11-345P4.10	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.3190398038834864	0.998914	0.4825	0.0	84.0	18834	0.0	0.0	3277	400	2	0.0	0.8691139972408191	0.9023545617200944	303732	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000231050.1_1	RP1-140A9.1	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.14074931529650314	1.6595173500000002	0.342163	0.0	86.0	7786	0.0	0.0	1187	906	2	0.1482918485243493	0.13360565924023	0.01857049663890184	535856	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000233542.1_1	RP11-547D24.1	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.07514625221119109	0.09935089999999999	0.48771800000000004	0.0	75.0	4433	0.0	0.0	2317	1954	2	0.3340997199557175	0.2915503395789125	0.046762632523676184	657598	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000226969.1_1	RP11-547D24.3	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.05166052484313055	0.324267	0.3666295	0.0	74.0	2153	0.0	0.0	766	437	3	0.15417927590699249	0.14946043362059	0.005910524861374503	693588	rs186507655	lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma
ENSG00000182873.5_1	RP11-181G12.2	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.3879065997471949	2.455772	0.40284549999999997	0.0	65.0	3235	0.0	0.016666666666666666	2081	1253	3	3.7745265161154204	3.1436695469688747	0.2720899722301057	771392	rs117105675	smoking status measurement, lung carcinoma
ENSG00000234396.3_1	RP11-181G12.4	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.24206737655682226	0.48692538	0.398773	0.0	65.0	3625	0.0	0.5	8215	326	2	0.15017637924215552	0.1446119955039878	0.006996483550584149	735043	rs117105675	smoking status measurement, lung carcinoma
ENSG00000272161.1_2	RP4-713A8.1	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.2202973590787904	3.708380000000001	0.37931	0.0	72.0	3902	0.01	0.01	492	493	1	0.2506163048176205	0.3232638731708215	0.08146154783155331	629088	rs117105675	smoking status measurement, lung carcinoma
ENSG00000272420.1_2	RP4-740C4.7	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.2464472748216222	3.869236496105001	0.639085	0.0	72.0	40837	0.04	0.02	567	568	1	0.6252921377834961	1.041490841139877	0.3289240367730309	592153	rs117105675	smoking status measurement, lung carcinoma
ENSG00000272449.1_1	RP3-395M20.12	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.4784121393713893	22.82659	0.305221	1.0	78.0	0	0.0	0.0	995	996	1	0.692301609127918	0.54641417988612	0.13005994301315915	408321	rs117105675	smoking status measurement, lung carcinoma
ENSG00000228037.1_1	RP3-395M20.9	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.7263268472755506	4.2653325	0.5159739999999999	0.0	78.0	2801	0.03	0.02666666666666667	2973	626	3	0.1107514106867703	0.07084689444826467	0.052783749744363714	371248	rs117105675	smoking status measurement, lung carcinoma
ENSG00000237058.1_1	RP13-436F16.1	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.3518711777325756	0.55284955	0.466488	0.0	80.0	10073	0.0	0.0	4052	373	2	1.2924158372992398	0.0	1.1968687683503685	319161	rs117105675	smoking status measurement, lung carcinoma
ENSG00000177133.10_1	LINC00982	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.4682771241452793	1.1916916000000002	0.39295187500000006	3.0	79.0	4176	0.0	0.25	8820	4247	7	0.0	0.1756586890084945	0.2334692853915211	88960	rs117105675	smoking status measurement, lung carcinoma
ENSG00000226286.1_1	RP1-163G9.2	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.034949816439000365	0.188243	0.44136499999999995	0.0	79.0	27560	0.0	0.0	782	469	2	0.0	0.8810047766301025	0.9115035124505876	162272	rs117105675	smoking status measurement, lung carcinoma
ENSG00000272088.1_1	RP11-168F9.2	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.37471492841225024	5.836031	0.596859	0.0	65.0	4696	0.01	0.02	381	382	1	0.3986313292692419	0.662187252270719	0.2490671898719467	516591	rs117105675	smoking status measurement, lung carcinoma
ENSG00000238260.1_1	RP11-46F15.2	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.3014279097976489	1.3251625	0.38745999999999997	1.0	59.0	19694	0.0	0.0	1553	622	3	0.08389511906818599	1.2736418432103251	1.0687798467692426	652535	rs117105675	smoking status measurement, lung carcinoma
ENSG00000235131.1_1	RP5-1092A11.2	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.0	0.2998415	0.430199	0.0	57.0	3876	0.0	0.0	2098	351	2	0.1965982598964489	0.0848822573310885	0.14140039518305467	741545	rs117105675	smoking status measurement, lung carcinoma
ENSG00000272153.1_1	RP1-286D6.5	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.4773163032785646	22.4816	0.46139399999999997	0.0	58.0	26434	0.0	0.0	530	531	1	2.8997039945173997	3.288600146575675	0.13714218968723602	814353	rs117105675	smoking status measurement, lung carcinoma
ENSG00000236423.5_1	LINC01134	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.17717851029051065	0.40733259999999993	0.4199253333333333	1.0	60.0	669	0.0	0.0	16821	3059	4	0.3685510570436875	0.17382351839140503	0.10245783056645502	929717	rs117105675	smoking status measurement, lung carcinoma
ENSG00000235054.3_1	RP5-1166F10.1	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.04953443072054231	0.064422795	0.4945278	0.0	32.0	50326	0.01	0.01	12662	2077	6	0.0	0.0	0.0	1584868	rs117105675	smoking status measurement, lung carcinoma
ENSG00000231510.1_1	RP11-542C10.1	lncRNA_good_csf	intergenic	lncRNA	False	lenient	0.21244388882965304	0.3964911	0.48106899999999997	0.0	22.0	9093	0.0	0.0025	4440	449	4	0.2791461707246715	0.2597668946306605	0.022024329135478284	2259300	rs117105675	smoking status measurement, lung carcinoma
ENSG00000236948.2_2	RP11-154H17.1	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.025472748072001058	0.03195368	0.4777645	0.0	37.0	228812	0.0	0.06666666666666667	106546	847	3	0.18487307781275694	0.17971182645967404	0.006298038648266715	2734550	rs117105675	smoking status measurement, lung carcinoma
ENSG00000226944.1_2	RP1-120G22.11	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.2915450035664345	2.6557065	0.42063500000000004	0.0	37.0	34667	0.0	0.0	940	378	3	0.9287193554558979	0.11222892166099743	0.7941894770280177	3377681	rs117105675	smoking status measurement, lung carcinoma
ENSG00000225077.2_1	LINC00337	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.6659320196423453	2.443377	0.46876299999999993	0.0	38.0	4158	0.01	0.006	2700	1302	5	5.783965773794931	1.9088486025237186	1.2569450792048855	3409081	rs117105675	smoking status measurement, lung carcinoma
ENSG00000231868.1_1	RP1-202O8.2	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.0	0.09716169999999999	0.39886	0.0	43.0	55235	0.0	0.0033333333333333335	3972	351	3	3.972607098852225	1.1353072979330583	1.2195587368336476	3615875	rs117105675	smoking status measurement, lung carcinoma
ENSG00000228750.6_1	RP11-242F24.1	lncRNA_good_csf	intergenic	lncRNA	False	lenient	0.008353755355163472	0.00971475	0.5236236	0.0	56.0	4783	0.01	0.006666666666666667	5375	1686	3	0.27841704833793196	0.22163864907346245	0.24071394631291845	3595399	rs17401966	hepatocellular carcinoma
ENSG00000237436.1_1	RP11-312B8.1	lncRNA_good_csf	promoter_overlap	lncRNA	False	lenient	0.3711570439457239	11.20923	0.42891599999999996	0.0	58.0	40752	0.7	0.006666666666666667	951	415	3	2.12243393398406	1.1272730133875797	0.5536658467953159	3540568	rs17401966	hepatocellular carcinoma
ENSG00000237402.1_2	CAMTA1-IT1	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.3096058677978084	0.448448	0.465753	0.0	69.0	32962	0.0	0.0	1328	365	2	0.09281450482067152	0.3973284424603375	0.35462262888096874	2955140	rs17401966	hepatocellular carcinoma
ENSG00000270035.1_1	RP11-338N10.2	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.3430726332242421	2.4721548991	0.44736800000000004	0.0	81.0	5612	0.0	0.0	569	570	1	0.9754134837363284	2.7636217775639302	0.9299669901041072	2626539	rs17401966	hepatocellular carcinoma
ENSG00000269978.1_1	RP11-338N10.3	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.8332071200589931	5.14617	0.617978	0.0	80.0	3514	0.0	0.0	266	267	1	1.6246293389612751	12.29304052881135	2.340485532359648	2624441	rs17401966	hepatocellular carcinoma
ENSG00000269925.1_2	RP3-467L1.6	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.2526126711330019	2.46095	0.633588	0.0	80.0	7114	0.0	0.0	392	393	1	0.654372685204129	3.1962958089766547	1.3428321101229406	2548636	rs17401966	hepatocellular carcinoma
ENSG00000236266.1_1	RP3-467L1.4	lncRNA_good_csf	transcript_overlap	lncRNA	False	lenient	0.4538458665231399	0.9168064	0.49759	0.0	83.0	43749	0.0	0.0	17100	830	3	0.234406698821486	0.05716073882080513	0.22362304438402952	2498069	rs17401966	hepatocellular carcinoma
ENSG00000238290.1_1	RP11-431K24.1	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.2312153315160788	0.34610465	0.47358100000000003	0.0	93.0	9812	0.0	0.0	95964	2044	3	0.21557724089193755	0.25474528749568	0.045752958893687086	2202709	rs17401966	hepatocellular carcinoma
ENSG00000232912.5_1	RP5-1115A15.1	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.07508583449141497	0.09567345	0.5353165	0.0	107.0	1959	0.01	0.0	10193	516	4	0.0181703492600069	0.11674657555274799	0.13332287294423134	1890573	rs17401966	hepatocellular carcinoma
ENSG00000228423.2_2	RP4-633I8.4	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.07528134058737096	0.0989225	0.592068	0.0	102.0	7946	0.0	0.065	1191	353	2	0.2607481254957895	0.20977554994907427	0.05954067162360632	1518361	rs17401966	hepatocellular carcinoma
ENSG00000236269.1_2	ENO1-IT1	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.0	0.0	0.48118299999999997	3.0	106.0	4141	0.0	0.005	2219	744	2	0.9297141790702366	0.42576932165791703	0.4366465936874524	1447405	rs17401966	hepatocellular carcinoma
ENSG00000230679.1_1	ENO1-AS1	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.6183252821787282	3.1117600000000003	0.510965	0.0	106.0	4969	0.0	0.0	1059	456	2	0.6936016677058325	0.422031060916057	0.2521416175210333	1445518	rs17401966	hepatocellular carcinoma
ENSG00000228526.5_2	MIR34A	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.9564475594463764	26.916802500000003	0.43157300000000004	3.0	89.0	406	0.0	1.0	34381	4211	2	4.7613421198009345	0.5649880906367435	1.8374043876886847	1128429	rs17401966	hepatocellular carcinoma
ENSG00000234546.3_1	RP3-510D11.2	lncRNA_good_csf	transcript_overlap	lncRNA	False	hit	0.5866157955719123	4.172734999999999	0.45819133333333334	1.0	84.0	503	0.0	0.0	14280	985	3	1.4331767230294297	0.14692417480381656	0.929166670269229	1129128	rs17401966	hepatocellular carcinoma
ENSG00000281937.1_1	RP3-510D11.4	lncRNA_good_csf	gene_nearby	lncRNA	False	lenient	0.27668066932360946	0.44156175	0.40873000000000004	1.0	82.0	2329	0.0	0.0	1763	1764	1	0.06506474045224264	0.0155158274945878	0.0687284028228653	1126506	rs17401966	hepatocellular carcinoma
ENSG00000231789.2_1	PIK3CD-AS2	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.9548731834047476	23.196576500000003	0.440895	4.0	74.0	12890	0.0	0.0	15129	939	3	11.056332631493252	6.539124832806183	0.6773221608374228	637858	rs17401966	hepatocellular carcinoma
ENSG00000228150.1_2	RP11-84A14.4	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.16653626922343445	0.6586179999999999	0.5636359999999999	0.0	74.0	42268	0.0	0.0	7051	440	2	1.446488822891135	0.7956485454428834	0.4462076864206329	375439	rs17401966	hepatocellular carcinoma
ENSG00000241326.1_2	RP11-807G9.2	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.7086575409175759	3.9274765	0.5665140000000001	0.0	74.0	14654	0.0	0.025	1427	436	2	0.462224025918336	0.6691702690620395	0.19096676681195307	340845	rs17401966	hepatocellular carcinoma
ENSG00000271989.1_1	RP4-736L20.3	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.44759181465019743	0.8131805000000001	0.395232	0.0	57.0	6147	0.0	0.0	796	797	1	0.29015050333361403	0.01753510823625915	0.342460801007526	65363	rs636291	prostate carcinoma
ENSG00000226849.1_2	RP4-635E18.7	lncRNA_good_csf	transcript_overlap	lncRNA	False	lenient	0.12642737175659502	0.34070599999999995	0.49738999999999994	0.0	61.0	5350	0.0	0.0	4626	2682	2	0.2698664493911525	0.306814579036746	0.041377676766672936	572432	rs636291	prostate carcinoma
ENSG00000230337.1_1	RP4-635E18.6	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.6750730968706007	4.071239	0.4424	0.0	62.0	36554	0.0	0.0	2425	487	2	2.255680837194067	1.2976305496191873	0.6118954786406954	603636	rs636291	prostate carcinoma
ENSG00000235643.1_1	RP1-69M21.2	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.14260758504846438	0.19059625	0.474708	0.0	86.0	83499	0.09	0.013333333333333334	3824	1285	3	0.4137912679910231	0.26320967442602	0.1624750111231553	1113492	rs636291	prostate carcinoma
ENSG00000120937.8_1	NPPB	protein_coding	protein_coding	mRNA	False	no hit	0.6045612048396598	1.624482	0.435159	2.0	76.0	23938	0.0	0.0	1467	694	3	0.9922045349222324	562.7566950696455	8.144563078328776	1361425	rs636291	prostate carcinoma
ENSG00000272482.1_1	RP11-474O21.5	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.7133179435005044	13.44651	0.443478	2.0	60.0	2676	0.0	0.17	344	345	1	0.6430168869006395	0.3055291289229195	0.3317126609860845	1985881	rs11803759	colorectal cancer
ENSG00000231606.1_1	RP11-344F13.1	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.0	0.0	0.599291	0.0	44.0	27447	0.0	0.365	1227	282	2	0.0	0.0	0.0	115518	rs11803759	colorectal cancer
ENSG00000234593.2_1	RP4-704D23.1	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.5550561687142358	2.414924	0.5143979999999999	0.0	60.0	46988	0.0	0.0	42621	764	4	0.0107927269786055	0.0	0.015487188717003813	10320	rs11803759	colorectal cancer
ENSG00000175147.11_1	TMEM51-AS1	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.6336041298590636	2.968728	0.467666	2.0	86.0	20074	0.0	0.0	40649	7100	6	0.39030600501790946	0.8738852516744995	0.4354083998709721	313466	rs2901964	response to radiation, prostate carcinoma, erectile dysfunction
ENSG00000204464.7_1	C1orf195	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.061061231276168026	0.102522	0.5150595	0.0	88.0	1221	0.0	0.0	6973	441	2	0.067854129629007	0.11715833020621	0.06511908116309245	294613	rs2901964	response to radiation, prostate carcinoma, erectile dysfunction
